ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.486912,6.523859,4.586992,4.613009,16.013,0.2614943,3.105221,0.08067789,NONE
-1,6.486887,6.523883,4.587004,4.612998,16.01301,0.2707119,3.105072,0.1614687,NONE
-1,6.48687,6.523896,4.587004,4.612998,16.01301,0.2743199,3.105028,0.2440437,NONE
-1,6.486859,6.523906,4.586992,4.613009,16.01302,0.2753928,3.10502,0.3231709,NONE
-1,6.486844,6.523921,4.586985,4.613017,16.01303,0.2756768,3.105018,0.4019825,NONE
-1,6.486835,6.523931,4.586975,4.613026,16.01303,0.275738,3.105023,0.4818859,NONE
-1,6.486825,6.523942,4.586967,4.613034,16.01304,0.2757457,3.105027,0.5626628,NONE
-1,6.486814,6.523952,4.58696,4.613041,16.01305,0.2757452,3.105027,0.6412718,NONE
-1,6.486804,6.523963,4.586952,4.613049,16.01306,0.2757445,3.105027,0.7234305,NONE
-1,6.486794,6.523974,4.586945,4.613057,16.01306,0.2757438,3.105027,0.8036394,NONE
-1,6.486783,6.523985,4.586937,4.613064,16.01307,0.2757433,3.105027,0.88106,NONE
-1,6.486771,6.523995,4.586929,4.613072,16.01308,0.2757431,3.105027,0.9608219,NONE
-1,6.486764,6.524003,4.586924,4.613078,16.01308,0.2757439,3.105027,1.040711,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105027,1.120199,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105027,1.203545,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105027,1.280087,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.10503,1.362974,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.10503,1.441147,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.10503,1.5238,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757445,3.10503,1.601186,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757449,3.10503,1.683374,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10503,1.762567,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.10503,1.843097,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10503,1.921165,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10503,2.000655,NONE
-1,6.486762,6.524003,4.586924,4.613078,16.01308,0.2757435,3.105031,2.080465,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757441,3.105031,2.161643,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105031,2.241701,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757442,3.105031,2.321265,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105031,2.40277,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105031,2.480615,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105031,2.562304,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105035,2.641902,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105035,2.722775,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757429,3.105035,2.800635,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757451,3.105035,2.88066,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757444,3.105035,2.960159,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105035,3.040662,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757444,3.105035,3.120962,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105036,3.201941,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275744,3.105035,3.282699,NONE
-1,6.48677,6.523996,4.586926,4.613076,16.01308,0.2757318,3.123957,3.36497,ACCELERATE
-1,6.486822,6.523942,4.586918,4.613083,16.01309,0.2757095,3.241369,3.443598,ACCELERATE
-1,6.486872,6.523891,4.58691,4.613091,16.0131,0.2757013,3.440208,3.520119,ACCELERATE
-1,6.486934,6.523831,4.586905,4.613097,16.01311,0.2756967,3.75221,3.604238,ACCELERATE
-1,6.487051,6.523713,4.586887,4.613114,16.01309,0.2871611,4.107729,3.6801,ACCELERATE
-1,6.487267,6.523499,4.58692,4.613081,16.01307,0.2816395,4.582157,3.764027,ACCELERATE
-1,6.487417,6.523349,4.586979,4.613022,16.01301,0.2802465,5.115078,3.8444,ACCELERATE
-1,6.487515,6.523251,4.587036,4.612965,16.01296,0.2798721,5.69862,3.922121,ACCELERATE
-1,6.487635,6.523126,4.587091,4.61291,16.01291,0.2795832,6.358249,4.00129,ACCELERATE
-1,6.48778,6.522978,4.587151,4.612851,16.01285,0.2794191,7.079549,4.08059,ACCELERATE
-1,6.487959,6.522808,4.587219,4.612782,16.01278,0.2792637,7.89853,4.16402,ACCELERATE
-1,6.488132,6.522637,4.587294,4.612708,16.01271,0.2792557,8.692959,4.240029,ACCELERATE
-1,6.488338,6.522425,4.587383,4.612618,16.01262,0.2792043,9.605554,4.3227,ACCELERATE
-1,6.488562,6.522199,4.587484,4.612517,16.01252,0.2791843,10.54158,4.40352,ACCELERATE
-1,6.488802,6.521964,4.587593,4.612408,16.01241,0.2791807,11.46428,4.480069,ACCELERATE
-1,6.489073,6.521692,4.587725,4.612277,16.01227,0.2791719,12.46975,4.560615,ACCELERATE
-1,6.489359,6.521403,4.587868,4.612134,16.01213,0.2791665,13.5027,4.640827,ACCELERATE
-1,6.48968,6.521084,4.58803,4.611971,16.01196,0.2791632,14.58348,4.722496,ACCELERATE
-1,6.490015,6.520747,4.588205,4.611796,16.01179,0.279162,15.66413,4.802246,ACCELERATE
-1,6.490357,6.520393,4.588392,4.611609,16.0116,0.2791617,16.74224,4.880219,ACCELERATE
-1,6.490758,6.52,4.58861,4.611392,16.01138,0.27916,17.89739,4.962268,ACCELERATE
-1,6.491161,6.519603,4.588833,4.611168,16.01116,0.2791597,19.02448,5.041075,ACCELERATE
-1,6.491587,6.519172,4.589077,4.610925,16.01092,0.2791584,20.17168,5.120205,ACCELERATE
-1,6.492061,6.518702,4.589346,4.610656,16.01065,0.2791581,21.37117,5.201941,ACCELERATE
-1,6.492545,6.518219,4.589626,4.610375,16.01037,0.2791579,22.55649,5.28186,ACCELERATE
-1,6.493057,6.517706,4.589924,4.610078,16.01007,0.2791588,23.74697,5.361791,ACCELERATE
-1,6.493572,6.517188,4.590231,4.60977,16.00976,0.2791589,24.91455,5.440178,ACCELERATE
-1,6.494122,6.516643,4.590559,4.609442,16.00943,0.2791595,26.12712,5.521585,ACCELERATE
-1,6.494691,6.516067,4.5909,4.609101,16.00909,0.2791597,27.30767,5.600841,ACCELERATE
-1,6.495302,6.515468,4.591267,4.608735,16.00873,0.2791592,28.50549,5.681254,ACCELERATE
-1,6.495912,6.514853,4.591641,4.608361,16.00835,0.2791598,29.71191,5.762248,ACCELERATE
-1,6.496542,6.514215,4.59203,4.607972,16.00796,0.2791604,30.8917,5.841453,ACCELERATE
-1,6.497207,6.513546,4.592438,4.607564,16.00755,0.2791601,32.09964,5.922547,ACCELERATE
18.93202,6.474513,6.537436,4.592843,4.60716,16.00714,0.2791589,33.25434,6.000067,ACCELERATE
17.68795,6.399769,6.672774,4.5933,4.606702,16.00669,0.2791592,34.46949,6.081646,ACCELERATE
16.49916,6.272123,6.938659,4.593752,4.60625,16.00622,0.2791599,35.70268,6.164434,ACCELERATE
15.32898,6.097302,7.417893,4.594212,4.60579,16.00577,0.2791596,36.84451,6.241091,ACCELERATE
14.28286,5.906657,8.127263,4.5776,4.623452,15.9984,0.2791595,38.07336,6.323597,LEFT_ACCELERATE
14.0211,5.869089,8.326437,4.562665,4.641058,15.93712,0.2791634,39.25554,6.403145,LEFT_ACCELERATE
14.44557,6.022948,7.809787,4.592648,4.606165,15.76999,0.2791797,40.43296,6.48314,LEFT_ACCELERATE
15.5148,6.424256,6.863322,4.709455,4.502948,15.45766,0.2792,41.59521,6.564184,LEFT_ACCELERATE
17.17362,7.113369,5.831551,4.967432,4.329605,15.00292,0.2792119,42.64917,6.641538,LEFT_ACCELERATE
18.60574,7.885046,5.030198,5.333471,4.05581,14.38319,0.2792031,43.67239,6.722116,LEFT_ACCELERATE
19.42109,8.517993,4.418351,5.739121,3.703704,13.675,0.2791891,44.60787,6.801058,LEFT_ACCELERATE
19.42776,8.861499,3.969728,6.115985,3.29187,12.89029,0.279178,45.53054,6.882428,LEFT_ACCELERATE
18.59313,8.840329,3.759702,6.376564,2.939254,12.12095,0.2791688,46.42218,6.961512,ACCELERATE
17.46297,8.637529,3.752057,6.541412,2.695073,11.35693,0.2791646,47.33996,7.041699,ACCELERATE
16.29911,8.354709,3.975754,6.627889,2.570495,10.61205,0.2791619,48.25985,7.121171,ACCELERATE
15.11861,8.006601,4.555007,6.638458,2.573441,9.861962,0.2791618,49.20403,7.202131,ACCELERATE
13.95582,7.604293,5.789023,6.575554,2.694689,9.121313,0.2791628,50.14756,7.282662,LEFT_ACCELERATE
13.20479,7.267167,7.882708,6.43955,2.888248,8.374271,0.2791611,51.063,7.362015,LEFT_ACCELERATE
13.01853,7.058689,9.420623,6.271047,3.076013,7.552453,0.2791691,51.93954,7.442801,LEFT_ACCELERATE
13.37232,6.994988,8.019456,6.115194,3.194901,6.681427,0.2791879,52.69315,7.52031,LEFT_ACCELERATE
14.61291,7.136517,6.550105,6.018942,3.229208,5.683435,0.2792077,53.34644,7.600667,LEFT_ACCELERATE
17.00787,7.423717,5.585471,6.018167,3.186086,4.597453,0.2792057,53.84905,7.681294,LEFT_ACCELERATE
-1,7.684887,5.057386,6.102871,3.099762,3.459373,0.2791927,54.22257,7.761916,LEFT_ACCELERATE
-1,7.820001,4.847537,6.192185,3.007196,2.317603,0.2791838,54.5075,7.841,LEFT_ACCELERATE
-1,7.729381,4.996185,6.24806,2.958201,1.158417,0.2791707,54.76979,7.920811,ACCELERATE
-1,7.448699,5.525863,6.232222,3.01716,-0.007725853,0.2791642,55.05167,8.001373,LEFT_ACCELERATE
-1,7.264466,5.812913,6.148585,3.130343,-1.162427,0.2791613,55.32336,8.081031,LEFT_ACCELERATE
-1,7.200123,5.814624,6.042892,3.244689,-2.35575,0.2791612,55.54606,8.162569,LEFT_ACCELERATE
-1,7.013334,6.080917,5.926401,3.408352,-3.511941,0.2791618,55.74286,8.241315,ACCELERATE
-1,6.761058,6.465368,5.755311,3.623494,-4.677787,0.2791603,55.95286,8.320848,ACCELERATE
-1,6.495808,6.870258,5.546875,3.849387,-5.872164,0.2791605,56.17774,8.402448,ACCELERATE
-1,6.222031,7.288254,5.313788,4.082776,-7.045649,0.2791607,56.40539,8.482701,ACCELERATE
-1,5.985609,7.608055,5.079597,4.302957,-8.184864,0.2791592,56.62585,8.560606,LEFT_ACCELERATE
-1,5.943964,7.452371,4.849987,4.458477,-9.394215,0.2791618,56.81057,8.642803,LEFT_ACCELERATE
-1,6.040408,7.156024,4.714321,4.535117,-10.57051,0.2791651,56.91151,8.722122,LEFT_ACCELERATE
-1,6.001845,7.171184,4.63386,4.604907,-11.75731,0.2791632,56.98741,8.801971,ACCELERATE
-1,5.894035,7.300694,4.550481,4.68825,-12.95463,0.2791621,57.07212,8.88256,ACCELERATE
