ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.48691,6.52386,4.586992,4.613009,16.013,0.2617667,3.105216,0.0824852,NONE
-1,6.486888,6.523884,4.587004,4.612998,16.01301,0.2708805,3.105072,0.164081,NONE
-1,6.486872,6.523895,4.587004,4.612998,16.01301,0.274307,3.105035,0.2434429,NONE
-1,6.486856,6.52391,4.586994,4.613007,16.01302,0.2753821,3.105028,0.3214262,NONE
-1,6.486842,6.52392,4.586985,4.613017,16.01303,0.2756749,3.105025,0.4008251,NONE
-1,6.486835,6.523931,4.586975,4.613026,16.01303,0.2757381,3.10503,0.4842373,NONE
-1,6.486824,6.523941,4.586967,4.613034,16.01304,0.2757456,3.10503,0.5617757,NONE
-1,6.486815,6.523953,4.58696,4.613041,16.01305,0.2757446,3.10503,0.6415383,NONE
-1,6.486804,6.523963,4.586952,4.613049,16.01306,0.2757452,3.10503,0.7201421,NONE
-1,6.486792,6.523974,4.586945,4.613057,16.01306,0.275744,3.10503,0.8001158,NONE
-1,6.486783,6.523985,4.586937,4.613064,16.01307,0.2757433,3.10503,0.8830865,NONE
-1,6.486772,6.523994,4.586929,4.613072,16.01308,0.2757435,3.10503,0.9641245,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.275744,3.10503,1.042431,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757448,3.10503,1.121814,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.10503,1.20215,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.10503,1.281198,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757442,3.10503,1.360172,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10503,1.443562,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757446,3.10503,1.520731,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10503,1.600665,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.10503,1.681792,NONE
-1,6.486764,6.524003,4.586924,4.613078,16.01308,0.2757437,3.105032,1.762768,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757437,3.105032,1.841915,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105032,1.920341,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757449,3.105032,2.001642,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757444,3.105032,2.081707,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757429,3.105032,2.161427,NONE
-1,6.486764,6.524003,4.586924,4.613078,16.01308,0.2757438,3.105034,2.240353,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275744,3.105034,2.320274,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105034,2.401943,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105034,2.482889,NONE
