ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.486966,6.523803,4.58699,4.613011,16.013,0.2631029,3.10519,0.09134459,NONE
-1,6.486881,6.523883,4.587004,4.612998,16.01301,0.2706885,3.10507,0.1611176,NONE
-1,6.48687,6.523896,4.587004,4.612998,16.01301,0.2743393,3.105026,0.2449473,NONE
-1,6.486856,6.523909,4.586994,4.613007,16.01302,0.2754058,3.105016,0.325382,NONE
-1,6.486844,6.523921,4.586985,4.613017,16.01303,0.2756836,3.105014,0.4072158,NONE
-1,6.486836,6.523932,4.586975,4.613026,16.01303,0.2757384,3.105015,0.4853469,NONE
-1,6.486825,6.523942,4.586967,4.613034,16.01304,0.2757456,3.105015,0.5615543,NONE
-1,6.486816,6.523949,4.586962,4.613039,16.01305,0.275745,3.105015,0.6400246,NONE
-1,6.486803,6.523963,4.586952,4.613049,16.01306,0.2757443,3.105017,0.7247194,NONE
-1,6.486792,6.523974,4.586945,4.613057,16.01307,0.2757435,3.105017,0.8031382,NONE
-1,6.486782,6.523985,4.586937,4.613064,16.01307,0.2757435,3.105017,0.8847409,NONE
-1,6.486771,6.523995,4.586929,4.613072,16.01308,0.2757433,3.105017,0.9610236,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757435,3.105017,1.041056,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757435,3.105017,1.124819,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105016,1.205142,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105017,1.284105,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757439,3.105018,1.361124,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105018,1.44301,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105018,1.520884,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,1.601934,NONE
-1,6.486763,6.524002,4.586924,4.613078,16.01308,0.2757433,3.105018,1.684166,NONE
-1,6.486763,6.524002,4.586924,4.613078,16.01308,0.2757433,3.105018,1.763616,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105018,1.840513,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105018,1.923368,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105018,2.001221,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.10502,2.081722,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757441,3.10502,2.163687,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10502,2.242535,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10502,2.32346,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757429,3.10502,2.402732,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757434,3.10502,2.482369,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.10502,2.563624,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10502,2.644136,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10502,2.721927,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.10502,2.802911,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.10502,2.880586,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275744,3.10502,2.962046,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.10502,3.044479,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.10502,3.120822,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10502,3.203546,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.10502,3.280465,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.10502,3.360822,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105019,3.442448,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105021,3.522713,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105021,3.603059,NONE
-1,6.486764,6.523997,4.586924,4.613078,16.01308,0.2757382,3.114122,3.684825,ACCELERATE
-1,6.486806,6.523964,4.586918,4.613083,16.01309,0.2757153,3.200585,3.762927,ACCELERATE
-1,6.486854,6.523914,4.58691,4.613091,16.0131,0.2757033,3.377473,3.841775,ACCELERATE
-1,6.486907,6.523857,4.586903,4.613099,16.01311,0.2756978,3.655581,3.924327,ACCELERATE
-1,6.486968,6.523793,4.586901,4.613101,16.01311,0.2760693,3.992837,4.000648,ACCELERATE
-1,6.487073,6.523694,4.586922,4.61308,16.01308,0.279619,4.464869,4.088621,ACCELERATE
-1,6.487238,6.523526,4.586964,4.613038,16.01304,0.2781163,4.923112,4.16104,ACCELERATE
-1,6.487411,6.523353,4.587023,4.612978,16.01298,0.2787704,5.52357,4.244395,ACCELERATE
-1,6.487562,6.523201,4.587076,4.612925,16.01293,0.2789063,6.169686,4.324224,ACCELERATE
-1,6.48771,6.523051,4.58713,4.612872,16.01287,0.2789984,6.878102,4.403974,ACCELERATE
-1,6.487876,6.522888,4.587193,4.612809,16.01281,0.2790094,7.613037,4.480617,ACCELERATE
-1,6.488056,6.522706,4.587267,4.612734,16.01273,0.2790851,8.44802,4.562096,ACCELERATE
-1,6.488254,6.522506,4.587347,4.612654,16.01265,0.2791093,9.301213,4.640718,ACCELERATE
-1,6.48848,6.522286,4.587444,4.612557,16.01256,0.2791348,10.22846,4.722028,ACCELERATE
-1,6.488705,6.522053,4.587549,4.612452,16.01245,0.2791433,11.16842,4.801003,ACCELERATE
-1,6.488976,6.521789,4.587675,4.612326,16.01232,0.2791532,12.19047,4.883702,ACCELERATE
-1,6.489259,6.521508,4.587812,4.612189,16.01218,0.2791559,13.21347,4.963816,ACCELERATE
-1,6.489548,6.521212,4.587961,4.61204,16.01203,0.2791563,14.22564,5.040931,ACCELERATE
-1,6.489872,6.520889,4.588129,4.611872,16.01186,0.2791568,15.29001,5.120096,ACCELERATE
-1,6.490238,6.520512,4.588326,4.611676,16.01167,0.2791587,16.45146,5.204596,ACCELERATE
-1,6.490614,6.520149,4.588526,4.611475,16.01147,0.2791586,17.53542,5.281991,ACCELERATE
-1,6.491003,6.519757,4.588743,4.611258,16.01125,0.2791584,18.65147,5.360414,ACCELERATE
-1,6.49143,6.519335,4.588984,4.611018,16.01101,0.2791583,19.80525,5.44034,ACCELERATE
-1,6.491872,6.51888,4.589239,4.610763,16.01075,0.2791583,20.98364,5.520944,ACCELERATE
-1,6.492362,6.518397,4.58952,4.610482,16.01047,0.2791582,22.18966,5.602522,ACCELERATE
-1,6.492867,6.5179,4.589811,4.61019,16.01018,0.2791587,23.36099,5.681195,ACCELERATE
-1,6.493376,6.517377,4.590115,4.609887,16.00987,0.2791589,24.56076,5.761744,ACCELERATE
-1,6.493948,6.51681,4.590454,4.609547,16.00953,0.2791601,25.78098,5.843664,ACCELERATE
-1,6.494491,6.516268,4.59078,4.609221,16.00921,0.2791601,26.93489,5.921132,ACCELERATE
-1,6.49507,6.515685,4.591133,4.608868,16.00885,0.27916,28.12518,6.001042,ACCELERATE
-1,6.495696,6.515049,4.591515,4.608487,16.00847,0.27916,29.35582,6.08366,ACCELERATE
-1,6.496304,6.514451,4.591883,4.608119,16.0081,0.2791602,30.49372,6.160053,ACCELERATE
-1,6.496975,6.513767,4.592301,4.607701,16.00768,0.2791598,31.734,6.243318,ACCELERATE
19.27143,6.484303,6.52727,4.592713,4.607289,16.00726,0.2791606,32.94873,6.324864,ACCELERATE
18.09682,6.434371,6.610883,4.593136,4.606866,16.00685,0.2791603,34.08655,6.401252,ACCELERATE
16.87625,6.32403,6.84075,4.593594,4.606408,16.00639,0.2791601,35.31389,6.48365,ACCELERATE
15.71055,6.16353,7.237609,4.594048,4.605954,16.00593,0.2791598,36.48779,6.562459,ACCELERATE
14.53745,5.948269,7.936266,4.581902,4.618021,16.00546,0.2791601,37.64899,6.640416,ACCELERATE
13.49204,5.720578,9.059015,4.538285,4.673091,15.99794,0.2791603,38.87046,6.722426,LEFT_ACCELERATE
13.1665,5.635233,9.636944,4.483295,4.729546,15.93497,0.2791632,40.07197,6.803279,LEFT_ACCELERATE
13.24937,5.674773,9.409983,4.466028,4.739772,15.76781,0.2791694,41.29048,6.885973,LEFT_ACCELERATE
12.78457,5.592473,10.8439,4.461074,4.756083,15.55665,0.2791671,42.39937,6.961785,LEFT_ACCELERATE
11.75053,5.338993,-1,4.411879,4.845536,15.3265,0.2791632,43.56965,7.041864,LEFT_ACCELERATE
11.15102,5.138686,-1,4.31593,4.971675,15.07656,0.279163,44.71162,7.120378,LEFT_ACCELERATE
